Time_hr,Target_Q,Q,WHP,FLP,BHP,Choke
0,400.0,100.18113675686452,264.799443131599,185.074491101877,3112.413588540241,39.214277967431016
1,400.0,99.2701470077899,263.70618256110436,183.6497223144491,3125.233992061076,44.214277967431016
2,400.0,107.04188226261547,263.80908337330567,183.15899441347602,3113.5857246744595,49.214277967431016
3,400.0,111.1181535419562,260.41042374955487,181.05710849124452,3102.7105999579476,54.214277967431016
4,400.0,114.3330464012474,257.64201382697667,179.09405866302413,3089.770902806702,59.214277967431016
5,400.0,122.22341100319653,253.28771236779968,177.53455758373389,3081.141550203133,64.21427796743102
6,400.0,126.237521099132,249.9909029503038,173.85462557487543,3072.7017846891586,69.21427796743102
7,400.0,133.67876974658483,246.9529315105098,170.94193658616058,3078.8941306195984,74.21427796743102
8,400.0,140.39469638651502,242.3992299206093,168.32686892841147,3042.7949254122527,79.21427796743102
9,400.0,147.06736297652319,239.0560953340039,163.5920225957303,3006.3317231912265,84.21427796743102
10,400.0,151.91260994932142,233.79331247391252,159.85128913774273,3010.015376319713,89.21427796743102
11,400.0,160.22402460629914,226.92475793335402,157.34167739822647,3000.3417669349988,94.21427796743102
12,400.0,166.4671317762093,223.4137051843506,153.18220160501775,2983.841949693009,99.21427796743102
13,400.0,170.98743323906197,216.0021657350573,148.59372444462971,2928.136973978739,100.0
14,400.0,173.24687476222488,208.7631626629536,144.68423921106043,2916.9106379331124,100.0
15,400.0,177.36297195027493,201.99017482909636,140.87127430546462,2884.2804912340366,100.0
16,400.0,183.05071519601904,200.46709621792212,139.42336768095373,2864.6452911501347,100.0
17,400.0,186.83328690033747,193.99646556481696,134.92115616322346,2843.3720952488497,100.0
18,400.0,189.15949596979922,192.6561343193149,134.3603539739203,2829.778299741907,100.0
19,400.0,191.22544712818095,186.25554824444632,131.39371861448777,2809.4045488833017,100.0
20,400.0,192.39462896012859,183.74636215612838,131.47335901603935,2785.165684861874,100.0
21,400.0,192.3221640432268,183.5731064016088,129.7415052373654,2761.5288909409073,100.0
22,400.0,195.25349979567045,181.1629350839114,127.24002039122462,2760.8939541686764,100.0
23,400.0,191.08345220153166,178.34387898958988,127.04066707802896,2745.598096709859,100.0
24,400.0,194.6819860519348,177.33398691851522,126.03587398200787,2753.1311373220096,100.0
25,400.0,195.71228824695726,175.74218526324233,125.69035800909009,2754.944152939908,100.0
26,400.0,195.6654247585109,175.46828575191788,123.18741611994605,2739.7727964344645,100.0
27,400.0,197.61286794711955,175.41286289981736,123.92485393285435,2708.821851428596,100.0
28,400.0,198.27326322652652,173.69969365938965,122.72216801448813,2698.229832616442,100.0
29,400.0,197.83456784591493,171.66386155650702,125.30400827921575,2701.2120425995577,100.0
30,400.0,196.5001809441702,170.99903274185672,121.21768314226836,2693.4277154914053,100.0
31,400.0,200.0850833163964,170.32262407031135,121.8069434873125,2685.0905579305977,100.0
32,400.0,198.54799309472534,170.7674505443392,122.2733963054283,2689.906888610941,100.0
33,400.0,198.22722477734658,169.91444687096075,121.21480176143785,2696.4377362352743,100.0
34,400.0,194.51043639374433,167.3343341955949,121.3286444735171,2685.889515368478,100.0
35,400.0,196.08147349008,169.0296211751928,122.32288629570242,2688.6098115583773,100.0
36,400.0,198.32751025346556,169.33711634142406,121.59812217901674,2670.0612213120603,100.0
37,400.0,197.7058663316198,169.63950751014968,120.12222347090284,2679.820724304132,100.0
38,400.0,197.45349902695204,166.5736371169712,120.11113586996163,2678.1406392597796,100.0
39,400.0,198.59535387595471,167.89932483797966,119.63004198463136,2672.3846966165925,100.0
40,400.0,198.67068372043838,168.52224402504896,121.3767630625506,2681.9544673502037,100.0
41,400.0,199.87528920879885,168.1931802565423,120.00829534529066,2672.7215189623275,100.0
42,400.0,197.04604017399,163.92872269894062,119.18966000987423,2691.744447814,100.0
43,400.0,196.42538930463263,163.97639998531534,120.08120833865175,2684.8603560657875,100.0
44,400.0,198.12465123154186,167.26339683735907,120.30290238091645,2667.731633962489,100.0
45,400.0,200.19805779936254,167.66081795855942,120.41825671892221,2676.5492718513133,100.0
46,400.0,199.9040401008492,166.26977747202477,120.68880241670736,2669.3114874833122,100.0
47,400.0,197.16931769748925,167.95141729373847,120.27656005496976,2659.797459346718,100.0
48,400.0,195.5899967481974,164.78245249581047,121.71538154753243,2653.9004186733123,100.0
49,400.0,198.90645088721647,165.87651185824578,120.81099866341015,2670.749282022602,100.0
50,400.0,197.01328986554344,165.92154241408178,120.43208392604733,2665.3169958133144,100.0
51,400.0,198.19265809828784,165.84890923063523,120.87294410741221,2676.8785122407885,100.0
52,400.0,199.09026757027908,165.2614429114716,120.65421280243122,2663.8571697142056,100.0
53,400.0,198.96823495232326,168.5449946766419,120.1112122481566,2662.7390597632257,100.0
54,400.0,196.84898643561283,165.77573969174378,119.79096187242804,2678.534734425594,100.0
55,400.0,198.72327882676043,165.38602053472837,121.94706936331035,2648.884316476513,100.0
56,400.0,199.60106305928664,167.40143478268382,120.76241259296256,2659.2954195417856,100.0
57,400.0,198.04359393676975,165.63580327776432,120.93839161300698,2638.3263592369626,100.0
58,400.0,197.4436679139007,166.2539489382223,119.74585969993308,2643.2256741158635,100.0
59,400.0,197.86652207010536,165.0740186098457,120.93779943066627,2675.2386719073106,100.0
60,400.0,198.3581586385164,163.5470772925412,120.06851287089046,2651.797978644328,100.0
61,400.0,199.32230036638055,168.1890543321513,120.50940321489887,2681.289702578632,100.0
62,400.0,200.63229659051268,166.90152400998477,119.48426271251522,2662.8462620749146,100.0
63,400.0,196.1433854855203,167.47570561297084,120.43387746311201,2675.642979547935,100.0
64,400.0,198.91133547325876,163.67433384945832,120.90696884485108,2671.2756944103003,100.0
65,400.0,201.0965103520652,164.9233402558506,119.54875965514462,2662.5299121557446,100.0
66,400.0,196.8214194768946,164.39617019063456,119.39312135394428,2687.665337534499,100.0
67,400.0,197.465118570163,164.8281601384318,119.92954671451342,2661.3599752218274,100.0
68,400.0,200.44892629989766,167.31512445035185,120.98926743705509,2661.6328406110374,100.0
69,400.0,198.65846783788973,165.2748464411301,118.99646058937788,2681.528067708098,100.0
70,400.0,197.69038207770652,167.38750921004845,120.02392054994922,2660.1017699720683,100.0
71,400.0,198.16146735734858,164.31161366334564,120.226557459955,2664.7423323512758,100.0
72,400.0,199.70248000514897,166.70709542701294,121.17538610615466,2663.797456929189,100.0
73,400.0,198.38395717839234,163.54054364479472,119.82093894468173,2676.3255291818896,100.0
74,400.0,198.57788589019597,167.0817191823122,120.09931738181024,2653.9511706016146,100.0
75,400.0,201.6053231424496,166.51501966323698,121.57824698029327,2665.978270571975,100.0
76,400.0,197.91900545174377,163.17182085196703,120.35938159411498,2644.918430184655,100.0
77,400.0,194.88637371407714,167.64276692234907,120.90560779185283,2667.014395796254,100.0
78,400.0,198.4568402530345,166.00044687347193,120.64438543524429,2662.101372951746,100.0
79,400.0,198.48888837279566,166.99523010869467,118.14284666905549,2669.4442541715266,100.0
80,400.0,197.37506135054608,167.13531988999523,121.28969107140962,2651.950955115238,100.0
81,400.0,199.60597896970444,167.02545185588255,119.63677393028597,2654.773091541074,100.0
82,400.0,198.48227990859363,163.1126047442438,119.83726632967486,2661.7136519752476,100.0
83,400.0,197.57139252947442,163.90166849801875,119.87684596184083,2674.9614792793323,100.0
84,400.0,200.35365296822198,165.79659374237596,119.51402204146102,2659.5488590804434,100.0
85,400.0,198.28532075756505,165.07511625794842,119.91956883766055,2665.9307959214266,100.0
86,400.0,199.73046656470825,162.81000655372873,121.05787622413025,2661.020906046715,100.0
87,400.0,200.0689700365066,165.91723568796684,120.59116685661878,2676.0946106941747,100.0
88,400.0,193.58263420987709,167.9846977451793,120.3736153007789,2641.358960798311,100.0
89,400.0,194.05871611993888,166.3411538576234,119.31605139381652,2669.6847686134683,100.0
90,400.0,198.59499347943634,165.76771284877162,121.0705201624806,2661.5521060330407,100.0
91,400.0,199.42358566146027,167.00778155106502,120.4863199519953,2667.518485131683,100.0
92,400.0,199.4956741723073,164.18056092932792,119.96958476370727,2658.380865810989,100.0
93,400.0,197.65856990750223,163.89792931470024,119.71402234366866,2662.9800996986783,100.0
94,400.0,198.55633295663313,167.89344198244535,119.6799561477796,2655.240574553541,100.0
95,400.0,197.35155831218515,165.53069299934714,119.68220602326012,2640.8204943171227,100.0
96,400.0,198.79572848013106,167.2059416027303,121.17759413023859,2648.672938339213,100.0
97,400.0,197.9485815406976,168.31080774115236,120.11205731522462,2663.055597061961,100.0
98,400.0,198.01279647020954,167.22742498138297,121.04531387534439,2682.8823802204033,100.0
99,400.0,199.03791019007525,166.51198237390741,119.15339925038435,2655.447922223138,100.0
