Time_hr,Target_Q,Q,WHP,FLP,BHP,WHT,AP,Choke,Why,Fallback
0,100.0,101.5186872061084,261.14710475550004,186.4544126497111,3106.483177228322,135.0195722663826,1798.9074693281855,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
1,100.0,99.74296274105369,264.1153576895073,185.81249920385662,3105.4201013760094,133.77126727013064,1805.485588886474,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
2,100.0,98.96655001045995,261.57921384630765,185.4413710536778,3100.7402544488978,131.1209022218145,1793.487570688437,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
3,100.0,99.59711449423318,261.9934243592356,183.80581200296194,3107.835023764796,135.34793490266352,1798.1349433763164,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
4,100.0,99.16050075058658,264.0209262754946,185.72299750209785,3104.4697041407126,134.81949703690327,1808.3430038126637,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
5,100.0,100.00268027516125,262.4839751209645,185.40338344777697,3109.9631000811055,135.65100560263343,1789.7233537695572,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
6,100.0,99.28582775441738,262.4536293058479,183.59899705480342,3108.755857429979,134.79468791567174,1794.0896797481935,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
7,100.0,102.50500404203389,264.58569509679967,185.64737147587078,3111.5196341451547,135.43661675449155,1789.3441612836552,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
8,100.0,101.28992731486503,264.30538608377486,183.57100100219654,3110.976799242253,133.62756807291555,1806.2521815684936,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.1 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
9,100.0,99.63258057368841,263.5091034498219,185.40170827860928,3098.7241721000646,134.90115384237285,1799.1602944918106,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
10,100.0,101.09724524292137,262.86343655010836,186.04674461388944,3113.5721309532933,133.73626073250625,1805.0556572567489,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
11,100.0,102.30362881314844,265.83313800480863,183.74065132446452,3116.3605216191027,134.70092744261854,1799.2491137585093,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
12,100.0,98.73785980314574,265.1482833552122,184.01138926336836,3113.195620121242,135.95614437748137,1787.2026456955882,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
13,100.0,99.84514028014735,261.85449792357673,185.31743878075312,3122.691536402727,137.03868829383185,1785.7750844569318,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
14,100.0,99.41625162477612,264.43857073421566,186.4756224047785,3111.74084295573,132.88413420830594,1802.3770520770995,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
15,100.0,100.29428204617741,263.27434904730035,184.46934897681277,3111.402967223114,134.4651869763809,1799.2561269793891,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
16,100.0,99.97146938810997,261.8868694393008,184.6848442490248,3119.613133363985,133.7175337257736,1788.482421465295,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
17,100.0,102.41921658523897,264.21717702488894,186.9346552881587,3108.152975306833,133.3112966383801,1788.4188424097956,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
18,100.0,102.40238625403653,266.8350609904123,184.39484774567183,3101.0445918487467,134.8976583109759,1793.3572365166929,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
19,100.0,99.89414010438861,263.0879480782037,185.27331224269042,3118.4995875464742,134.03647757407882,1807.3512807662412,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
20,100.0,99.65913058973678,263.9579777628791,183.25276140452627,3093.002906097565,135.1972470301573,1795.2788048076725,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
21,100.0,101.23182720967472,264.2335490310503,186.2536779585695,3115.6669020625445,135.52886442010544,1799.1066293546862,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
22,100.0,99.2210407205631,262.59849217596116,184.68390724683485,3096.2126701353436,133.18221234592272,1799.2594475879323,34.2,"Moved choke to 34.2% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options.",False
