Time_hr,Target_Q,Q,WHP,FLP,BHP,Choke
0,100.0,101.52555670852085,261.1461401464497,186.45197935099455,3106.4787495888922,29.214277967431016
1,100.0,99.3500034844198,263.342108088915,185.42224606119777,3112.0852412313416,24.214277967431016
2,100.0,95.6474825043301,264.1845517098681,186.84603154818413,3114.3155288346297,19.214277967431016
3,100.0,87.34783195257987,264.2393152842342,189.04288627109386,3104.3111529186003,18.68602559287826
4,100.0,80.8168707230489,267.58741462875145,189.85701798547635,3105.8683474941186,18.68602559287826
5,100.0,77.49519031582206,270.9208037446941,192.39474108440837,3125.1540219220487,18.68602559287826
6,100.0,75.40258536255956,273.32959440928767,193.41254510981767,3133.51237238539,18.68602559287826
7,100.0,74.75136339452473,275.8908350373408,193.62875080206743,3136.4461849078475,18.68602559287826
8,100.0,72.24906327777423,276.3724023371815,195.64323098258706,3138.9556387733046,18.68602559287826
9,100.0,68.8664393531263,276.2936791557423,193.95143062673858,3159.5628770621915,18.68602559287826
10,100.0,69.26790288552944,277.5720262605107,197.31961697400303,3172.3204031432524,18.68602559287826
11,100.0,68.22133782263965,280.0431299726917,197.5214312170311,3155.918863443484,18.68602559287826
12,100.0,67.21508724353627,281.182646178272,195.65797867245766,3177.377541009182,18.68602559287826
13,100.0,65.04885841765008,282.18348239612067,197.2419982466449,3177.865512927316,18.68602559287826
14,100.0,65.3217974847617,280.73061663520764,198.51618548137893,3180.708284440212,18.68602559287826
15,100.0,65.01654719765413,281.77639600558246,199.26354894640693,3191.145368383364,18.68602559287826
16,100.0,63.519147599298456,283.77451359250625,199.69537615017546,3206.000669056141,18.68602559287826
17,100.0,60.96142705809506,284.54946239854615,199.2501286334662,3189.772574361785,18.68602559287826
18,100.0,61.556522269600315,285.42565699533395,197.964114297247,3198.7735842557845,18.68602559287826
19,100.0,64.94512288191889,282.10513978159855,198.9791839712074,3182.1044550407305,18.68602559287826
20,100.0,63.082202050083005,286.40574059374427,201.15514395909037,3179.311859007272,18.68602559287826
21,100.0,61.631003530989574,285.6304191415612,200.90768540409374,3203.0538708741087,18.68602559287826
22,100.0,61.228367906696704,285.34107696222793,199.6430853960295,3198.3179246015566,18.68602559287826
23,100.0,61.13759105349837,285.6601048567584,200.02797397962834,3200.7931433658405,18.68602559287826
24,100.0,61.8548774370398,283.6916171537974,199.4291144760708,3215.0350548026922,18.68602559287826
25,100.0,61.83068040927915,283.64867888214275,201.0856644509277,3209.3532128180063,18.68602559287826
26,100.0,65.38674512043637,285.7132497158039,199.5958067716475,3190.513382393679,18.68602559287826
27,100.0,64.10400878829186,289.0505773441884,199.3424626941903,3199.4102964087892,18.68602559287826
28,100.0,62.91919810496383,284.79084152556186,199.87039477752734,3203.172114238574,18.68602559287826
29,100.0,62.250433440439345,287.35339038537467,200.16807000070187,3216.585741147515,18.68602559287826
30,100.0,61.261027236753286,286.44878691464834,198.33281354321895,3193.4776289741767,18.68602559287826
31,100.0,63.15155240667352,285.3404676401881,200.72289420066235,3214.0013204262887,18.68602559287826
32,100.0,63.96152824962671,287.2013611530216,201.13052286594979,3207.9505526804683,18.68602559287826
33,100.0,60.76823353246978,285.27379451271713,199.85021197263953,3198.198334884089,18.68602559287826
34,100.0,60.99342607590374,286.14092457810557,200.51311629192662,3206.5255945920317,18.68602559287826
35,100.0,58.818580185832126,286.2080173512087,200.5089777872092,3221.147346278737,18.68602559287826
36,100.0,62.74562327200764,285.5106410033241,199.70208976332677,3230.7489665917847,18.68602559287826
37,100.0,63.0202128482278,288.719050897622,202.19030888652378,3202.6944107058866,18.68602559287826
38,100.0,62.4305833702076,286.98380580755787,200.8411476126113,3216.5790743076786,18.68602559287826
39,100.0,62.13792152573955,286.6432922028357,199.06348226148378,3209.72283011139,18.68602559287826
40,100.0,60.64035860424932,286.6027018487584,199.97008193877687,3217.784068553655,18.68602559287826
41,100.0,63.10192403707402,286.85554413898683,200.65760112628004,3212.7027265460356,18.68602559287826
42,100.0,61.1065800832149,286.26428592583295,199.96048124740972,3215.824329298951,18.68602559287826
43,100.0,61.83120747223301,287.2357304355079,199.24407506180475,3220.980106163534,18.68602559287826
44,100.0,60.60758167201975,285.5593958781758,200.2301690981793,3206.5721766804963,18.68602559287826
45,100.0,62.263994161188236,285.77574765268605,199.47843825309155,3203.8608949260947,18.68602559287826
46,100.0,63.86879543225057,286.57904008981603,199.39728251541686,3212.525620670289,18.68602559287826
47,100.0,59.356394723298614,288.82764535952276,199.09110658094832,3217.3335553095467,18.68602559287826
48,100.0,62.65846838583912,284.67650895264904,200.67637926632426,3222.6129033303205,18.68602559287826
49,100.0,62.538232395625215,286.8791661552955,201.24153567498738,3214.309657556078,18.68602559287826
50,100.0,62.33142907200673,286.3870259578039,200.96857881903279,3203.332948275449,18.68602559287826
51,100.0,63.04731159431384,285.90592175968015,199.4768186415542,3216.485959436883,18.68602559287826
52,100.0,64.46463483040176,287.79322531384776,199.97708465361987,3219.8750860229184,18.68602559287826
53,100.0,61.086687868847804,286.4033236842591,200.5032984160593,3189.711372601904,18.68602559287826
