Time_hr,Target_Q,Q,WHP,FLP,BHP,Choke
0,100.0,54.494968895382776,291.48865729329697,202.76552474171356,3230.3270887008007,20.0
1,100.0,57.712192754247454,291.0736784185559,201.34908379257126,3227.124030899858,25.0
2,100.0,64.6298110037999,287.023460802886,200.31659626808477,3239.1708928569747,30.0
3,100.0,68.63310201924972,285.5222462130089,197.93587305236053,3234.600950057153,32.90386859195275
4,100.0,76.88128867021125,281.8688445459488,195.94587148378287,3228.5995875301196,37.90386859195275
5,100.0,82.83655199782338,281.8031055286647,194.61750020106325,3189.2218175265266,34.1799778775871
6,100.0,83.97616807531088,278.59324880112604,193.92985337307502,3209.9725152116453,31.669130599927158
7,100.0,87.71576220943841,277.7356880645683,192.98664894747418,3182.8160325161584,35.993175918004226
8,100.0,89.03014946541973,274.3741232867399,192.0448314463007,3184.070720158202,34.984652029991906
9,100.0,92.31062765281825,275.18407140689567,190.3182388730062,3156.7848112177917,37.138987715734714
10,100.0,95.69898097700316,271.7115616417408,188.2166982966604,3168.2254609991055,35.090161050803545
11,100.0,94.15611585900672,270.17939999202616,189.65501432511672,3133.146779119441,31.600715837642717
12,100.0,94.46866082038883,269.72822845433376,188.56824976664512,3142.8099115307086,36.13217931658472
13,100.0,96.98645275533063,267.7233668438317,187.35225346568762,3153.691763055831,37.74677446926736
14,100.0,96.94433822095985,265.0553185055054,186.76737600388037,3137.573406840255,35.08506558351289
15,100.0,98.81972458944708,267.82422903181714,187.19149171541991,3129.645019035911,36.301009205943245
16,100.0,99.60719156232949,266.9442245552526,185.9742305675136,3117.685329040917,33.917007302088884
17,100.0,99.5404302355292,264.7705226398286,186.6375123240763,3122.631424617336,32.87721072305952
18,100.0,99.04920539543302,266.54454383599113,186.21898304459808,3119.4242694158097,33.151246114185426
19,100.0,97.9600870302523,267.9894709166366,187.11779008599882,3109.741529357935,34.25087006535185
20,100.0,98.99431166935119,266.24066829405183,185.18427228859258,3123.896003462971,36.663201333451134
21,100.0,102.37757611939507,264.95595521827613,185.33571442562726,3117.2584508733407,35.48229764405264
22,100.0,99.2947596841276,264.8929712487301,187.39565282196182,3129.38822854782,30.482297644052643
23,100.0,99.7524388569885,266.15536728262845,185.73095379365037,3101.7795278644217,35.39888164499987
24,100.0,100.18345801855531,265.85359492315814,184.96364637108144,3127.711784692956,34.80181083427546
25,100.0,99.81600362643114,264.36962578692174,184.41365317442887,3137.0817928644888,34.08240378047177
26,100.0,101.2167915435199,265.55238089190357,184.9423365438099,3100.3195293901763,34.70612267666888
27,100.0,101.5387677894466,263.1605450564831,187.00889642080637,3112.570011078347,32.13405133052649
28,100.0,101.03332544691132,263.454698726934,184.3960555239471,3120.20726794701,31.068000805048605
29,100.0,97.58052040011638,264.8613882125179,187.08902060985898,3105.2585285612276,31.440782251055534
30,100.0,97.00812994950302,263.7110959250855,184.283592745114,3097.531783355709,36.44078225105554
31,100.0,98.89293240050915,263.33649219952923,184.70338942349036,3104.6114704209117,38.43261988277139
32,100.0,101.28319668940709,264.6098739471086,184.6463468852728,3118.0051805569938,36.006803692720446
33,100.0,98.8684945194144,263.62410213603425,185.54762610117393,3103.2704847230593,31.917005036266854
34,100.0,98.52748806207791,263.4068959764968,184.84830959436192,3121.9093827483307,35.98646089623897
35,100.0,101.19597487774595,265.3177685493118,182.39254417041965,3105.683283811946,37.05623190265107
36,100.0,100.0480603702766,262.1847164287871,184.26385080608807,3106.4555763174644,32.5796130115801
37,100.0,103.2445400557724,262.84085148569073,185.7522182778611,3103.735402679675,34.29318407597112
38,100.0,98.69474937824981,260.02767956188507,185.4749893146267,3111.914640902805,29.29318407597112
39,100.0,97.05966674278393,263.20584497247785,184.59181839533613,3126.7545031508016,34.29318407597112
40,100.0,98.93790165031642,262.956542215507,182.46184064412878,3093.5978757612925,37.868718789744506
41,100.0,101.18057532674376,261.4894850531046,182.27375238226747,3105.8133470559087,35.43585043578836
42,100.0,99.79615202496771,263.2305238418673,185.3270824102752,3099.665460400058,31.607403487437818
43,100.0,103.87299513003374,262.7127489398243,185.43313790836382,3092.1950002423323,33.7727666141507
44,100.0,96.38664043982327,261.54275043345723,185.93483307796194,3102.7336258357423,28.772766614150697
45,100.0,96.10166171081322,261.91985931897193,186.1698268674885,3114.9715837668164,33.7727666141507
46,100.0,99.96467798160516,264.284612849556,186.00114377260113,3119.7276024435832,35.672891923289704
47,100.0,98.27151034075906,265.81533799639993,185.68198387385388,3112.6669849957793,30.672891923289704
48,100.0,95.47461833224371,267.238160479041,185.11971969959453,3112.4705943851664,33.87901695076904
49,100.0,101.05203322214605,263.48253210109937,185.02004718558928,3118.4240215326486,38.87901695076904
50,100.0,99.82305163645447,263.13407772358937,184.82852225008537,3104.354614843951,33.87901695076904
51,100.0,100.37728507567768,264.03759218644177,185.2749811659463,3118.4273849715723,35.79974219651443
52,100.0,100.89046907268458,262.61560964388707,185.55009493052503,3111.268408229596,34.821359280765314
53,100.0,102.06609363793547,263.417707629454,185.38294669269362,3110.496813356544,33.71135980315999
54,100.0,100.35137387832565,262.07161478263447,185.25382044848408,3107.998803528826,31.158655075842134
55,100.0,101.82804793518766,263.79970982798926,185.7748892152947,3104.8682526310104,33.61289362845326
56,100.0,94.69979772873346,265.52352977742123,186.37674660772745,3121.185353697051,30.695814524947348
57,100.0,96.79595658242587,264.8870112095704,185.64764970053744,3093.4903709366517,35.69581452494735
58,100.0,99.68312401697223,263.34141128320084,185.91661030297396,3094.820404865473,33.74200760631497
59,100.0,95.86724245546381,263.2111330375582,184.74261284876172,3110.267686432317,29.50605226388334
60,100.0,99.93084481774243,264.8715332682715,186.41497828157839,3124.316910615576,34.50605226388334
61,100.0,97.23102915433665,264.1837744725409,184.7345021335034,3116.274599142176,29.50605226388334
62,100.0,96.67339014500295,264.79507013184735,186.7862555432747,3117.3747977708626,34.50605226388334
63,100.0,96.22988366000628,265.3864442519872,185.41960096242317,3123.249207118059,36.60188014886319
64,100.0,100.65256895288368,265.60599073656306,184.45086789562419,3109.7600847508365,38.69279631257034
65,100.0,99.54836000462397,263.24160458668433,184.88126727633235,3123.0683140710657,33.69279631257034
66,100.0,99.35033987119942,263.66857850070693,183.90447136097006,3093.2422289611804,35.52889181743706
67,100.0,100.56643568707541,261.38190268304027,184.82851109985492,3100.5567261761403,36.07262946031428
68,100.0,100.35582552430273,263.5436564543997,186.08502163643374,3101.4979297682726,34.0244520232133
69,100.0,97.95964836122938,262.55494108910875,184.78311257246892,3116.7308982295713,34.20797390680194
70,100.0,102.50272938266905,261.99045395237766,185.0447977387751,3116.575761175752,38.59224567313578
71,100.0,101.61244800589783,262.7213022757818,184.7549571396881,3131.694265952854,33.59224567313578
72,100.0,100.73455851027646,262.092468307914,184.43396771762457,3110.2069029614545,34.32716932395861
73,100.0,101.42361939191231,263.36337737357087,185.21673136006348,3123.6122317410013,35.37448607555334
74,100.0,101.19853478161505,262.20192761472174,184.29873245665976,3085.851831164412,33.79809382280797
75,100.0,99.18730322771013,262.9786337990904,184.84991856832252,3129.4654701806503,33.68563214403639
76,100.0,103.92807558191485,263.9557118807661,185.66031036292352,3097.983542020646,37.02619343235699
77,100.0,99.91568977211925,261.5621913593678,184.6359138987993,3126.4816724398293,32.02619343235699
78,100.0,101.40007624325726,262.22405108868617,184.48078778984518,3111.63520742218,37.02619343235699
79,100.0,102.30845479741095,263.6692306379062,183.48999685401807,3096.7347350782093,34.258884814464544
