Time_hr,Target_Q,Q,WHP,FLP,BHP,Choke
0,400.0,102.42940026555446,264.57857153271004,184.27029242637954,3111.399768693027,39.36298378792721
1,400.0,102.9569043601039,262.5583858531954,182.27583566652922,3124.220172213862,44.36298378792721
2,400.0,111.78515724299355,261.85025727144335,181.29139306813565,3108.987545534534,49.36298378792721
3,400.0,116.61677114372488,257.74199703419424,178.76165196103375,3094.905732738677,54.36298378792721
4,400.0,120.3505613114611,254.35275420341523,176.4278390633565,3079.097302337592,59.36298378792721
5,400.0,128.57516228171227,249.45530690618932,174.54706676722301,3067.9016315319755,64.36298378792722
6,400.0,132.78020929235745,245.6833412445819,170.58876689429763,3057.1661604698456,69.36298378792722
7,400.0,140.30206943925342,242.2297161821915,167.43490196940684,3061.3049554736817,74.36298378792722
8,400.0,147.01451118595185,237.31243601940912,164.61089919537974,3023.368888595153,79.36298378792722
9,400.0,153.62040565695804,233.65129749699403,159.69506656023628,2985.2627265476217,84.36298378792722
10,400.0,158.35205155409128,228.11039635048044,155.79757496839994,2987.4769306233093,89.36298378792722
11,400.0,166.5160055843891,220.9986303226761,153.15220791856598,2976.489136227571,94.36298378792722
12,400.0,172.5879680144876,217.27491552876162,148.87518365821575,2958.814070123287,99.36298378792722
13,400.0,176.14257514306766,209.67745003446552,144.75702890408672,2902.0581708548807,100.0
14,400.0,177.46754797551532,203.08264375547841,141.35829263889363,2889.8921622087696,100.0
15,400.0,180.81856690868827,197.0187362429551,137.98808472630336,2859.5414448249826,100.0
16,400.0,185.8799170586533,196.1162258100707,136.9239943539888,2842.5078197628177,100.0
17,400.0,189.14964147194164,190.18869986925188,132.75450466285247,2823.5626154766255,100.0
18,400.0,191.05596669260433,189.32367937738934,132.4821316717881,2812.051998396082,100.0
19,400.0,192.7781460312535,183.33907259236025,129.76552920995144,2793.542357497358,100.0
20,400.0,193.66587130234453,181.1939404797843,130.0619176046394,2770.9715723588974,100.0
21,400.0,193.3629692434139,181.3392950515256,128.5179578710306,2748.8274410059576,100.0
22,400.0,196.10563902102712,179.20796299054328,126.17935422005142,2749.528197386334,100.0
23,400.0,191.78112479123521,176.63293957400055,126.12119901522628,2735.4275706756694,100.0
24,400.0,195.25319205670468,175.8366183914925,125.23880743883812,2744.030150753933,100.0
25,400.0,196.17995216940517,174.4317282796174,124.99939863818595,2746.8002323369933,100.0
26,400.0,196.0483155939241,174.32140876409585,122.58843871168396,2732.485296085962,100.0
27,400.0,197.92635244914405,174.40914675985118,123.40561365518231,2702.300709595457,100.0
28,400.0,198.5299226289473,172.82126807379848,122.2720500931141,2692.3944585136264,100.0
29,400.0,198.04470279174345,170.89508692123295,124.91381100089512,2695.990320424038,100.0
30,400.0,196.6722248866164,170.3262216927079,120.87942974514952,2688.7551131872688,100.0
31,400.0,200.22594098295787,169.733797791339,121.51371909283476,2680.909329677019,100.0
32,400.0,198.66331759814602,170.25212549543127,122.01920655818793,2686.1653611770635,100.0
33,400.0,198.32164449488053,169.46344813752202,120.99445028721209,2693.089670382501,100.0
34,400.0,194.58774072018633,166.93963213716714,121.13762665033342,2682.893534408133,100.0
35,400.0,196.14476491948403,168.6841884646855,122.15729716632609,2685.928890002633,100.0
36,400.0,198.37932889312492,169.03480284966338,121.45457662232153,2667.6622272986856,100.0
37,400.0,197.74829184549156,169.374930808174,119.99778700019642,2677.674010140162,100.0
38,400.0,197.48823409987398,166.34208664656174,120.00326464358332,2676.219675023897,100.0
39,400.0,198.6237925483663,167.69667804426547,119.53653080246505,2670.6657422921303,100.0
40,400.0,198.69396733611848,168.3448929580007,121.2957002853511,2680.4162794368667,100.0
41,400.0,199.894352220999,168.03796733455786,119.93802381524405,2671.3450879408247,100.0
42,400.0,197.06164764832457,163.79288449084916,119.1287431734952,2690.5127632190765,100.0
43,400.0,196.43816762384822,163.8575180098871,120.02840087947206,2683.7581962643353,100.0
44,400.0,198.1351132344563,167.15935450434915,120.25712476161162,2666.7453780387373,100.0
45,400.0,200.20662336288737,167.56976288465816,120.37857311244368,2675.6667312742993,100.0
46,400.0,199.9110529911244,166.1900885007829,120.65440157526874,2668.5217554763162,100.0
47,400.0,197.1750593664255,167.8816756322856,120.24673872579382,2659.0907760971113,100.0
48,400.0,195.59469762912948,164.7214164544812,121.68953009632862,2653.26805071703,100.0
49,400.0,198.9102996430021,165.82309474337438,120.78858861168509,2670.1834143126266,100.0
50,400.0,197.01644096026624,165.87479318036608,120.4126571474746,2664.810635138313,100.0
51,400.0,198.19523799644324,165.80799554860153,120.85610346240418,2676.4254008003086,100.0
52,400.0,199.09237981223873,165.2256363485719,120.6396140194562,2663.4517077823657,100.0
53,400.0,198.96996430977356,168.51365772814546,120.09855688583232,2662.3762364851436,100.0
54,400.0,196.85040231374046,165.74831443051949,119.77999121851579,2678.2100658913105,100.0
55,400.0,198.72443804972613,165.36201867783709,121.937559145888,2648.5937903071035,100.0
56,400.0,199.60201215077834,167.3804289979251,120.75416839565732,2659.0354453028344,100.0
57,400.0,198.0443709871615,165.61741957539792,120.9312449005619,2638.0937240665903,100.0
58,400.0,197.4443041089531,166.23786001240597,119.73966437285856,2643.0175030189407,100.0
59,400.0,197.86704294255972,165.0599380112392,120.93242883854366,2675.05239222516,100.0
60,400.0,198.3585850928132,163.53475432832465,120.0638572232708,2651.631288260816,100.0
61,400.0,199.32264951762812,168.17826960265748,120.50536733686836,2681.1405414697306,100.0
62,400.0,200.63258245137655,166.89208550247866,119.48076409904448,2662.71278685013,100.0
63,400.0,196.14361952860065,167.46744528302992,120.43084459241446,2675.523540668977,100.0
64,400.0,198.91152709152618,163.66710462908753,120.90433971627057,2671.1688158054526,100.0
65,400.0,201.09666723583356,164.9170134350646,119.54648052168258,2662.434272978001,100.0
66,400.0,196.8215479224604,164.3906331258883,119.39114562351546,2687.579755838026,100.0
67,400.0,197.46522373249783,164.82331424710003,119.92783399746881,2661.2833933550237,100.0
68,400.0,200.44901239953523,167.3108834555513,120.98778272050059,2661.5643121456665,100.0
69,400.0,198.65853833031085,165.27113483563448,118.99517352140938,2681.4667457429637,100.0
70,400.0,197.69043979201956,167.38426091194785,120.02280481917187,2660.0468966666813,100.0
71,400.0,198.16151460983156,164.3087708395157,120.22559025760205,2664.693229560172,100.0
72,400.0,199.70251869220994,166.70460746344622,121.1745476598103,2663.753517821144,100.0
73,400.0,198.3839888526789,163.53836624546236,119.82021211407567,2676.2862107404653,100.0
74,400.0,198.57791182290848,167.07981358051163,120.09868730842099,2653.915986914353,100.0
75,400.0,201.60534437435885,166.5133519313844,121.57770078359692,2665.9467868253028,100.0
76,400.0,197.91902283496083,163.17036129754632,120.35890810827,2644.890257290292,100.0
77,400.0,194.88638794625155,167.64148955926237,120.90519733743797,2666.98918558271,100.0
78,400.0,198.45685190535337,165.9993289593797,120.6440296213832,2662.078813861481,100.0
79,400.0,198.48889791290745,166.99425174010818,118.14253822188289,2669.424067410606,100.0
80,400.0,197.37506916132898,167.13446364791216,121.28942368537245,2651.9328912078868,100.0
81,400.0,199.6059853646326,167.02470249565678,119.63654213923965,2654.7569272465607,100.0
82,400.0,198.48228514431798,163.11194892416788,119.83706539513945,2661.6991875289887,100.0
83,400.0,197.57139681612296,163.90109454178622,119.87667177613278,2674.9485359241235,100.0
84,400.0,200.35365647783297,165.79609143119495,119.51387104372026,2659.537276857311,100.0
85,400.0,198.28532363099148,165.07467664860496,119.91943794105616,2665.9204316927917,100.0
86,400.0,199.73046891727083,162.80962181936053,121.05776275275676,2661.0116317274437,100.0
87,400.0,200.06897196262193,165.91689897871288,120.59106849079285,2676.086311668654,100.0
88,400.0,193.58263578684694,167.98440306622393,120.37353002961831,2641.351534503984,100.0
89,400.0,194.05871741105258,166.340895962464,119.31597747413193,2669.6781232733265,100.0
90,400.0,198.59499453651082,165.767487145809,121.07045608313967,2661.5461595214083,100.0
91,400.0,199.42358652691965,167.00758402185411,120.48626440303082,2667.513163959277,100.0
